book_id,title,author,isbn,isbn13,asin,num_pages,avg_rating,num_ratings,year_pub_ed,text_review_count,genre,publisher,language,title_URL
89,"The Great Hunt
 (The Wheel of Time, #2)","Jordan, Robert",812517725,9.78E+12,B005IGPUMY,705,4.26,298277,1991,9328,Fantasy,Tor,English,https://www.goodreads.com/book/show/233649.The_Great_Hunt
90,"The Eye of the World
 (The Wheel of Time, #1)","Jordan, Robert",812511816,9.78E+12,812511816,800,4.19,504112,1990,21306,Fiction,Tor Books,English,https://www.goodreads.com/book/show/228665.The_Eye_of_the_World
91,"The Cuckoo's Calling
 (Cormoran Strike, #1)","Galbraith, Robert",316206849,9.78E+12,316206849,456,3.88,558205,2013,36492,Mystery,Mulholland Books,English,https://www.goodreads.com/book/show/16160797-the-cuckoo-s-calling
92,"The Infinite Sea
 (The 5th Wave, #2)","Yancey, Rick",,,B00E8OLIXM,320,3.84,137189,2014,12617,Young Adult,Putnam Juvenile,English,https://www.goodreads.com/book/show/16131484-the-infinite-sea
93,"The 5th Wave
 (The 5th Wave, #1)","Yancey, Rick",399162410,9.78E+12,399162410,457,4.01,445611,2013,31298,Young Adult,G.P. Putnam's Sons Books for Young Readers,English,https://www.goodreads.com/book/show/16101128-the-5th-wave
94,"The Wrath and the Dawn
 (The Wrath and the Dawn, #1)","Ahdieh, Renee",399171614,9.78E+12,399171614,416,4.07,169455,2015,22811,Fantasy,G.P. Putnam's Sons Books for Young Readers,English,https://www.goodreads.com/book/show/18798983-the-wrath-and-the-dawn
95,"Lore Olympus: Volume Two
 (Lore Olympus, #2)","Smythe, Rachel",059335608X,9.78E+12,059335608X,368,4.48,43996,2022,3686,Graphic Novels,Inklore,English,https://www.goodreads.com/book/show/57717417-lore-olympus
96,"Lore Olympus: Volume One
 (Lore Olympus, #1)","Smythe, Rachel",593160290,9.78E+12,593160290,384,4.31,105126,2021,10085,Graphic Novels,Del Rey,English,https://www.goodreads.com/book/show/57282218-lore-olympus
97,"Dark Age
 (Red Rising Saga, #5)","Brown, Pierce",425285952,9.78E+12,,704,4.44,44104,2019,3955,Science Fiction,Del Rey,English,https://www.goodreads.com/book/show/29226553-dark-age
98,"Iron Gold
 (Red Rising Saga, #4)","Brown, Pierce",042528591X,9.78E+12,042528591X,624,4.23,71186,2018,5566,Science Fiction,Del Rey,English,https://www.goodreads.com/book/show/33257757-iron-gold
99,"Golden Son
 (Red Rising Saga, #2)","Brown, Pierce",345539826,9.78E+12,,466,4.45,209836,2015,16850,Science Fiction,Del Rey,English,https://www.goodreads.com/book/show/18966819-golden-son
100,"Red Rising
 (Red Rising Saga, #1)","Brown, Pierce",345539788,9.78E+12,345539788,382,4.26,348527,2014,34317,Science Fiction,Del Rey,English,https://www.goodreads.com/book/show/15839976-red-rising
101,"Thunderhead
 (Arc of a Scythe, #2)","Shusterman, Neal",1442472456,9.78E+12,1442472456,504,4.41,150621,2018,20828,Young Adult,Simon & Schuster Books for Young Readers,English,https://www.goodreads.com/book/show/33555224-thunderhead
102,"Scythe
 (Arc of a Scythe, #1)","Shusterman, Neal",,9.78E+12,,435,4.33,267721,2016,38579,Fantasy,Simon & Schuster Books for Young Readers,English,https://www.goodreads.com/book/show/28954189-scythe
103,"Where We Found Our Heart
 (Lost & Found, #2)","Bishop, Natasha",,9.78E+12,,260,4.41,395,2021,73,Romance,Independently published,English,https://www.goodreads.com/book/show/59236437-where-we-found-our-heart
104,"Where We Found Our Home
 (Lost & Found, #1)","Bishop, Natasha",,9.78E+12,,252,4.28,594,2021,128,Romance,Independently published,English,https://www.goodreads.com/book/show/58042509-where-we-found-our-home
105,"Grey Sister
 (Book of the Ancestor, #2)","Lawrence, Mark",8152349,9.78E+12,8152349,416,4.37,32334,2018,2564,Fantasy,Ace,English,https://www.goodreads.com/book/show/35530652-grey-sister
106,"Red Sister
 (Book of the Ancestor, #1)","Lawrence, Mark",1101988851,9.78E+12,1101988851,467,4.17,54694,2017,5818,Fantasy,Ace,English,https://www.goodreads.com/book/show/25895524-red-sister
107,"The Winner's Crime
 (The Winner's Trilogy, #2)","Rutkoski, Marie",374384711,9.78E+12,,416,4.1,63609,2015,8083,Fantasy,Farrar Straus Giroux,English,https://www.goodreads.com/book/show/20443207-the-winner-s-crime
108,"The Winner's Curse
 (The Winner's Trilogy, #1)","Rutkoski, Marie",374384681,9.78E+12,,355,3.96,106495,2014,13498,Fantasy,Farrar Straus Giroux,English,https://www.goodreads.com/book/show/16069030-the-winner-s-curse
109,"The Handmaid’s Tale
 (The Handmaid's Tale, #1)","Atwood, Margaret",,9.78E+12,,314,4.13,1920862,1998,90773,Fiction,Anchor Books,English,https://www.goodreads.com/book/show/38447.The_Handmaid_s_Tale
110,"Blue Lily, Lily Blue
 (The Raven Cycle, #3)","Stiefvater, Maggie",545424968,9.78E+12,545424968,391,4.26,155537,2014,16675,Fantasy,Scholastic Press,English,https://www.goodreads.com/book/show/17378508-blue-lily-lily-blue
111,"The Dream Thieves
 (The Raven Cycle, #2)","Stiefvater, Maggie",545424941,9.78E+12,545424941,439,4.23,191209,2013,21559,Fantasy,Scholastic Press,English,https://www.goodreads.com/book/show/17347389-the-dream-thieves
